sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou
1,ʂeiauoʂɻ̩lausan,nakoŋosɹ̩nausan,lakoŋosɹ̩laosan,lɑkooŋosɹ̩lɑusanlo,siãbĩʔlaŋguasilausã,sueilɤɣɤsɹ̩lausæ̃,pinkɔaŋɔhɐiasam,nɒkoŋoʂɻ̩naɯsan,fɨanɔsɹ̩lɔsãna,xakəʊʂɻ̩lɔsæ̃,manŋinnaŋaiheasam,nɑkoʔŋozɹ̩lɔsɤ̃,nakuoŋuosɹ̩nausan,ʂeiiauoʂɻ̩ɕiausar,seiŋɤsɹ̩lausã,seiikɤvɤsɹ̩lɔsanikɤ,aɲinaŋaŋ̩zɹ̩lɜsa
2,lausɹ̩nətʰatʂəŋkənipʰəŋiouʂuotʂəxuarnə,nausɹ̩nantʰatsəntsaikənikopʰoŋiəusoxuani,laosɹ̩lɛlatsentsaixoikopʰoŋiəusotɕʰixualɛlɛ,lɑusɹ̩litɕietsɨntsʰaikiɛniʔkɔpʰuŋiutʰantʰo,lausieleitŋ̩tekaʔtsitlepiŋiukɔŋue,lausɹ̩lɤtʰatsəŋkəŋiəʔkɤpʰəŋiəutauɕiəʔlɤ,aseinɛkʰøyhɐitoutʰuŋkɔpʰɐŋjɐukʰiŋkɐnkɐilɛ,naɯsɻ̩nietɒtʂəndzaiɦoitʂopʰəniəɯtɒtʰaibiankɔn,lɔsɹ̩lɛtɕiatʂə̃jkɔpʰə̃iɯliaɕyãtʂɛ,lɔsɻ̩tsɤlakətsətʰakəniəʔkəpʰəniɯtɕiɑ̃tʂɻ̩xuatsɤ,asiakitsaŋtʰuŋittsakpʰeniuhokkeeliau,lɔsɹ̩nətʰɑdʑitɕʰiɔdoŋʔiəʔkoʔboŋʔiølɑʔhɑsɥəʔɦuɑʔɥ,nausɹ̩nietʰataikənikuopʰoŋiəusuoxua,lausɹ̩nətʰatʂəŋkənikɤpʰəŋioulaukʰɤrnə,lausɹ̩niuotʂəŋkẽtʰaikɤxuotɕʰipʰiãni,lɔsɹ̩naɲiatʂɤŋlianikɤpʰɤŋiɤuɕyanxuɑŋtiɲi,lɜsɹ̩neigitseŋzɹ̩tatʰuɔjikaiboŋjaukuɔɕyɦo
3,tʰaxaimeiʂuouanma,tʰaxaimeiiəusouana,laxaimeitɛsouana,tɕiehaʔmɑutʰanuɵnnɑ,iiabueʔkɔŋsuaʔhio,tʰaxaiməʔtauɕiəʔvæ̃lɤ,kʰøytsuŋmeikɔŋjynmɛ,tɒɦaimaɯkɔnyẽpo,tɕiaxɛmɔfɔuãmɔ,tʰakʰəʂɻ̩xɤmetɕiɑ̃ʊ̃,kim̩tʰienkoŋpʰeihem̩me,tʰɑɦɑmiʔisɥəʔhɔʔɑ,tʰaxaimausuouan,tʰaxaimeilauuanna,tʰateisɹ̩xaimoʂɤuã,tʰaxanmɤpʰianvanma,givameikuɔjya
4,xaimeinəkumətʂətsaixuərtɕiouʂuouanlə,xaimeiiəutayoxaiiəuixərtɕiəusouanno,xaimeitɛtopanxaiiəuixaxatəusouanləu,haʔmɑutsʰɑpɨʔtotsaiiutɛʔiʔhɑtsɹ̩tɕiutʰanuɵnliɛu,iabuetaiiɔʔtsittiamatioʔkɔŋsuaʔ,xaiməʔlatakaitsaiiəuiəʔtsəŋtsəŋtɕiəutauɕiəʔvæ̃lie,tsuŋmeitaikʰɔitsɔikɔjɐttsɐntsɐukɔŋjynlak,ɦaimaɯdaikʰaitsaikɔnitsəntsɹ̩dʑiəɯkɔnyẽtɒ,xɛmɔtakʰuɔ̃mv̩ɛtsɛjkuakuaɛxɔtɕiɯfɔuãliɔ,xɤmetayeʔmɐʔtsɤiɯiəʔʂɐʔtɕiɯtʂəŋlə,hanmaŋtʰientenithatʰiamkitsʰuvoikoŋpʰetle,ɦɑmilɤdɑkɤtsɤkuʔiəʔɕiəʔəldʑiøsɥəʔɦuõtə,xaimautakʰaixaiiəuixartɕiəusuouanniau,xaimeiioutakaitsaitaiixuərtɕioulauuanlə,xaimoioutamərxaiteiixuər,mɤiɤuɲixapatsaitɤŋitʂɤ̃rtɕiɤufɤvanliɤ,vameidaketsekujioŋ̩jɤukuɔhɜba
5,tʰaʂuolimartɕioutsoutsəmsəmpantʰianləxaitsaitɕiali,tʰatɕiaŋmasaŋtɕiəutsəutsakotseməntɕiəunoxaitsaiutʰəune,lasolɛlimatəutsəutsakotsɹ̩iaŋtapantʰianaoxaitsaiutʰəulɛ,tɕieuɑmɑsɔŋtɕʰiutsɛulɔŋlopɵnɲiʔliɛuhaʔtsʰaiuɨʔlimɑ,ikɔŋsuibeʔkiãnãekuipuãkaŋaiatitsʰulai,tʰasuəʔliəʔmatɕiəutsaʔtitsəʔpæ̃tʰieliexaitsaitɕialɤ,kʰøywatsikhaktsɐutsɐutimkaikɐmnɔitsuŋhɐiukkʰeitou,tɒkɔnsəitɕidʑiəɯtsəɯitikaikomopɔntʰiẽtɒɦaidzaiuni,tɕiafɔtɕiɯtsɯliaamə̃tʂɻ̩mə̃pãtʰiãliɔtʂɔxɛtɛtɕial̩lia,tʰatɕiɑ̃maʂɑ̃tɕiɯtsɯtɕiɑ̃kɔtipʊ̃tʰiɪ̃xɤtɕiazɹ̩tʰɯ,kivaliklaktsʰiutseuŋioŋankiuvehantsʰoivukkʰa,tʰɑsɥəʔtɑŋmɑŋdʑiøtsøtɕiəʔkəʔkəʔzɹ̩kuɑŋɦɑlɑʔhɑʔoʔli,tʰasuotɕiəutimoiaŋtsɤpantʰiɛnxaimautsəu,tʰaʂuomaʂaŋtɕioutsoutsatʂɤlaupantʰianləxaitsaitɕianə,tʰaʂɤmaʂaŋtsoutsoutsatautʂərxaitsaiuni,tʰafɤatsɹ̩rtɕiɤutsɤuɲimutsapanʂɻ̩tʰianliɤxantsaitɑŋtsɹ̩litʰɤuɲi,gikuɔjɤutsaudɜketsɹ̩napønebavazɹ̩vuleia
6,niʂɑŋnartɕʰyuotɕintʂʰəŋtɕʰi,ɲitsəunərtɕʰieŋotautsʰənxəutʰəutɕʰie,litsəulataikʰieiŋotsəutsʰentʰəukʰi,n̩tɑulɑlitɕʰieɑŋotɕinsɑŋtɕʰie,likʰitouiguakʰisiãlai,nitɕʰynakəʔiaɣɤtɕʰytsʰəŋlikəʔia,neihøypinŋɔjɐpsɛŋ,ɲitaɯnɒtɔntɕʰieŋotaɯdʐənnitɕʰie,ɲiatʂatɕʰjlianɔtʂʰə̃l̩tɕʰjkɔlia,litɔlakʰiɤtsʰɥʊtɔtɕiɤʂɑ̃tsʰɥ,n̩hinaiieŋaihitsʰutke,nitɔnɑlitɕʰiŋotɔdzenlitɕʰi,nitaunanikʰɯŋuotautsʰənnikʰɯ,niʂaŋnartɕʰyuoʂaŋkaili,nitauatatɕʰiiaŋɤtɕiẽtʂʰəŋia,ɲitɔnatatɕʰiɲivɤtɔtʂʰɤŋxɑŋtɕʰiɲi,ɲitsauɲauduɔkʰeiaŋ̩tsauzeŋteikʰei
7,tsainarputsaitʂər,tsainərputsaitsər,tsaiatiɛputsaitsɹ̩tiɛ,tsʰaihelipɨʔtsʰaikoli,tihiabotitsia,tsaivartɕiapəʔtsaitsartɕia,hɐikɔtoumhɐineitou,dzainɒtɔnmaɯdzaikotɔn,tɛnɛtʂaliamɔtɛtʂɻ̩tʂatʂɔ,tsɤlaɔtsəpəʔtsɤtiɔtsə,hoikeiem̩meeie,lɑʔhɑnɑdeipəʔlɑʔhɑkəʔli,tainaniputaitsɤni,tsaineikarputsaitʂeikar,tsaiuorputsaitʂɤr,tsaineitaɲiputsaitsatsa,zɹ̩hauduɔfuzɹ̩kauduɔ
8,punamtʂəteitʂəmtʂə,pusɹ̩naiaŋtsɹ̩tsuiautseiaŋtsɹ̩tsu,pusɹ̩aiaŋtsəusɹ̩iaoɕiaŋtsɹ̩iaŋtsəulɛ,pɨʔsɹ̩hɛntsukoiɛukɔŋtsu,m̩sianẽtsositioʔanĩtso,pəʔsɹ̩vaitəʔtsuəʔsɹ̩tsaitəʔtsuəʔ,mhɐikɐmtsouhɐijiukɐmtsoukɛ,puʂɻ̩iaɯnɒiantsəɯʂɻ̩iaɯkoiantsəɯ,nɛmə̃tɕiatɕyxɔmɔtuɨtʂɔiɔtʂɻ̩mə̃tɕiatɕylia,pəʔʂɻ̩laiɑ̃kɔiɔtiiɑ̃kɔ,m̩mekeannetsooieŋioŋŋetso,pəʔzɹ̩zəʔkɑtʰoɸtsoʔiɔkɑtso,pusɹ̩naiaŋpansɹ̩tsɤiaŋpan,puʂɻ̩namɤtsuoteitʂɤmɤtsuo,pusɹ̩uiaŋrtsousɹ̩tʂɻ̩iaŋrtsou,pusɹ̩neimutɕiatsuteitsɹ̩mutɕiatsu,fuzɹ̩henaŋtɕyɔdʑakenaŋtɕyɔ
9,tʰeituoləyŋputʂaunamtuotʂɻ̩iautʂəmtuotɕioukoulə,tʰaitonoyoŋputaunaməntotsɹ̩iautseməntotɕiəukəuno,tʰaitolaiaoputaoaiaŋtotsɹ̩iaotsɹ̩iaŋtotəukəula,tʰaitosɔŋliɛupɨʔiɛuhetotsɨʔiɛukototsɹ̩tɕʰiukiɛuliɛu,siũtseam̩bianhianĩtse,tʰautɤlieyəŋpəʔlauvəʔlaitɤkuɒ̃tsəʔɕiartɕiəukəulie,tɔtɐktsɐilamsɐikɐmtɔjiukɐmtɔtsɐukɐula,tʰaitotɒiaɯpuniaɯnɒiantotʂɻ̩iaɯkoiantodziəɯiəɯtɒ,tʰɛtuliɔnɛmə̃tuxɔyə̃pv̩uãnatʂɻ̩mə̃ɕixɔtɕiɯkɯliɔ,tʰɤtʊtʂəiŋpəʔtʂuɐʔlaiɑ̃tʊtʂəʔiɔtiiəʔxɔtɕiɯkɯtʂə,tʰiettoem̩sɹ̩antooiantoetsʰiukeuve,tʰəʔkɑtotəɦioŋpəʔdzɑʔkɑsɥtotsəʔɦiɔzəʔkɑtodʑiøkøtə,tʰaituoniauioŋputaunaiaŋtuokuaŋiautsɤmotuotçiəukəuniau,tʰaituoləyŋputʂaunalautuotʂɻ̩iautʂɤɕiɛtɕioukoulə,tʰaituoliɛtsɹ̩iautʂeiitiãrtsoukouliɛ,tʰaituɤliɤiɔpuxɑŋnɤmutuɤtsɹ̩iɔtseiɕiɤtɕiɤukɤuliɤ,tʰɤutɤubafujyɔhenaŋtɤutsɹ̩jyɔnaŋtɤujɤuliɛteiba
10,tʂeikətaneikəɕiautʂeilianeikəxɑutiar,tsekotanakoɕiautseniaŋkonaikoxauitiər,tsɹ̩kotaakoɕiaotsɹ̩liaŋkotaotilakoiaoxaoitɛlɛ,keitsɑʔtʰaihetsɑʔɕiɛukoliɔŋtsɑʔlɑtsɑʔhɑutiɑʔtsɹ̩le,tsitletuahitlesetsitlŋ̩etotsitlekʰaʔho,tsaitavaiɕiautsəʔliakɤnakɤxauɕiar,neikɔtaikɔkɔsɐineilœŋkɔpinkɔhoutinɛ,kotʂɒdainɒtʂɒsiaɯkoniantʂonɒitʂohaɯitiẽ,tʂɻ̩kɔtanɛkɔkatʂɻ̩liɔ̃kɔajkɔxɔɛɕi,tikətalakəɕiɔtiliɑ̃kəxakəxɔxɔtsə,etsakkuotʰaiketsakkuoseelioŋtsaknaŋaitsakkʰohau,tɕiəʔkoʔdonɑkoʔɕiɔkəʔliɑŋkoʔnɑkoʔhɔʔiəʔtiɤ̃əl,tsɤkuotanakuoɕiautsɤniaŋkuonakuoxauitier,tʂeikɤtaneikɤɕiautʂɤliaŋkɤneikɤxautiarnə,tʂɻ̩kɤtaukɤɕiautʂɻ̩liaaikɤxau,tseikɤtaneikɤɕiɔtseiliɑŋkɤnakɤxɔɕiɤr,kikaidɤuhekaisaikiliɛkaiɲaukaihɜlenei
